,0
2023-10-02,-34.64101615137769
2023-10-03,-20.00000000000015
2023-10-04,-5.878304635907295e-14
2023-10-05,19.999999999999805
2023-10-06,34.64101615137749
2023-10-07,40.0
2023-10-08,34.64101615137763
2023-10-09,20.000000000000036
2023-10-10,2.0579018070768242e-13
2023-10-11,-19.999999999999925
2023-10-12,-34.64101615137742
2023-10-13,-40.0
2023-10-14,-34.6410161513777
2023-10-15,-20.00000000000016
2023-10-16,-6.858022075225178e-14
2023-10-17,19.999999999999794
2023-10-18,34.641016151377485
2023-10-19,40.0
2023-10-20,34.64101615137763
2023-10-21,20.000000000000288
2023-10-22,2.1558735510086123e-13
2023-10-23,-19.999999999999915
2023-10-24,-34.641016151377414
2023-10-25,-40.0
2023-10-26,-34.641016151377706
2023-10-27,-20.00000000000017
2023-10-28,-7.837739514543061e-14
2023-10-29,19.999999999999787
2023-10-30,34.641016151377485
2023-10-31,40.0
2023-11-01,34.641016151377634
2023-11-02,20.0000000000003
2023-11-03,2.2538452949404006e-13
2023-11-04,-19.999999999999908
2023-11-05,-34.641016151377414
2023-11-06,-40.0
2023-11-07,-34.641016151377706
2023-11-08,-20.000000000000178
2023-11-09,-3.723916638426495e-13
2023-11-10,19.99999999999978
2023-11-11,34.64101615137748
2023-11-12,40.0
2023-11-13,34.641016151377634
2023-11-14,20.000000000000306
2023-11-15,2.3518170388721885e-13
2023-11-16,-19.999999999999652
2023-11-17,-34.64101615137741
2023-11-18,-40.0
2023-11-19,-34.64101615137771
2023-11-20,-20.000000000000185
2023-11-21,-3.821888382358283e-13
2023-11-22,19.999999999999773
2023-11-23,34.64101615137747
2023-11-24,40.0
2023-11-25,34.64101615137764
2023-11-26,20.000000000000068
2023-11-27,5.291959725844377e-13
2023-11-28,-19.99999999999964
2023-11-29,-34.6410161513774
2023-11-30,-40.0
2023-12-01,-34.64101615137758
2023-12-02,-20.00000000000044
2023-12-03,-3.919860126290071e-13
2023-12-04,19.999999999999762
2023-12-05,34.64101615137747
2023-12-06,40.0
2023-12-07,34.64101615137779
2023-12-08,20.000000000000323
2023-12-09,2.547760526735765e-13
2023-12-10,-19.99999999999988
2023-12-11,-34.64101615137725
2023-12-12,-40.0
2023-12-13,-34.64101615137772
2023-12-14,-20.000000000000206
2023-12-15,-1.175660927181459e-13
2023-12-16,19.999999999999506
2023-12-17,34.64101615137732
2023-12-18,40.0
2023-12-19,34.641016151377656
2023-12-20,20.000000000000085
2023-12-21,5.487903213707955e-13
2023-12-22,-19.999999999999627
2023-12-23,-34.641016151377386
2023-12-24,-40.0
2023-12-25,-34.641016151377585
2023-12-26,-20.00000000000046
2023-12-27,-4.1158036141536483e-13
2023-12-28,19.999999999999744
2023-12-29,34.64101615137746
2023-12-30,40.0
2023-12-31,34.6410161513778
2024-01-01,20.000000000000338
2024-01-02,2.743704014599342e-13
2024-01-03,-19.999999999999865
2024-01-04,-34.641016151377244
2024-01-05,-40.0
2024-01-06,-34.64101615137773
2024-01-07,-20.00000000000022
2024-01-08,-1.3716044150450357e-13
2024-01-09,19.99999999999949
2024-01-10,34.64101615137731
2024-01-11,40.0
2024-01-12,34.64101615137766
2024-01-13,20.000000000000103
2024-01-14,5.683846701571531e-13
2024-01-15,-19.99999999999961
2024-01-16,-34.64101615137738
2024-01-17,-40.0
2024-01-18,-34.641016151377876
2024-01-19,-20.000000000000476
2024-01-20,-4.3117471020172245e-13
2024-01-21,19.99999999999973
2024-01-22,34.64101615137744
2024-01-23,40.0
2024-01-24,34.64101615137781
2024-01-25,20.000000000000355
2024-01-26,2.939647502462918e-13
2024-01-27,-19.999999999999847
2024-01-28,-34.64101615137723
2024-01-29,-40.0
2024-01-30,-34.64101615137774
2024-01-31,-20.000000000000234
2024-02-01,-1.5675479029086122e-13
2024-02-02,19.999999999999474
2024-02-03,34.6410161513773
2024-02-04,40.0
2024-02-05,34.64101615137767
2024-02-06,20.00000000000061
2024-02-07,5.879790189435107e-13
2024-02-08,-19.99999999999959
2024-02-09,-33.77499074759293
2024-02-10,-39.292893218813454
2024-02-11,-34.14101615137788
2024-02-12,-19.741180954897967
2024-02-13,-4.451344457507291e-13
2024-02-14,19.741180954897196
2024-02-15,34.141016151377436
2024-02-16,39.29289321881346
2024-02-17,33.774990747593385
2024-02-18,19.034074173711307
2024-02-19,-0.9999999999996865
2024-02-20,-20.96592582628841
2024-02-21,-35.50704155516166
2024-02-22,-40.70710678118655
2024-02-23,-35.14101615137776
2024-02-24,-20.258819045102776
2024-02-25,-7.540931192813652e-13
2024-02-26,20.25881904510197
2024-02-27,35.141016151377286
2024-02-28,40.707106781186546
2024-02-29,35.50704155516212
2024-03-01,20.96592582628969
2024-03-02,1.0000000000006075
2024-03-03,-19.034074173710508
2024-03-04,-33.77499074759292
2024-03-05,-39.29289321881345
2024-03-06,-34.14101615137789
2024-03-07,-19.741180954897985
2024-03-08,-4.644838651772573e-13
2024-03-09,19.741180954897178
2024-03-10,34.14101615137715
2024-03-11,39.29289321881346
2024-03-12,33.77499074759339
2024-03-13,19.034074173711325
2024-03-14,-0.9999999999996668
2024-03-15,-20.96592582628839
2024-03-16,-35.50704155516165
2024-03-17,-40.70710678118655
2024-03-18,-35.14101615137777
2024-03-19,-20.258819045102793
2024-03-20,-7.739323974275523e-13
2024-03-21,20.25881904510195
2024-03-22,35.14101615137727
2024-03-23,40.707106781186546
2024-03-24,35.507041555162125
2024-03-25,20.965925826289215
2024-03-26,1.0000000000006273
2024-03-27,-19.034074173709996
2024-03-28,-33.77499074759291
2024-03-29,-39.29289321881345
2024-03-30,-34.14101615137763
2024-03-31,-19.741180954898
2024-04-01,-1.0451620458542646e-12
2024-04-02,19.74118095489716
2024-04-03,34.141016151377144
2024-04-04,39.292893218813454
2024-04-05,33.77499074759341
2024-04-06,19.034074173711836
2024-04-07,-0.9999999999996473
2024-04-08,-20.965925826288373
2024-04-09,-35.507041555161926
2024-04-10,-40.70710678118655
2024-04-11,-35.14101615137807
2024-04-12,-20.25881904510281
2024-04-13,-7.937716755737394e-13
2024-04-14,19.999999999999915
2024-04-15,34.64101615137727
2024-04-16,40.0
2024-04-17,34.641016151377706
2024-04-18,20.00000000000066
2024-04-19,7.832787669450353e-14
2024-04-20,-19.99999999999954
2024-04-21,-34.64101615137706
2024-04-22,-40.0
2024-04-23,-34.64101615137792
2024-04-24,-20.000000000001034
2024-04-25,-5.09552105347153e-13
2024-04-26,19.99999999999917
2024-04-27,34.641016151377414
2024-04-28,40.0
2024-04-29,34.64101615137813
2024-04-30,20.000000000000426
2024-05-01,9.407763339998027e-13
2024-05-02,-19.99999999999978
2024-05-03,-34.641016151377194
2024-05-04,-40.0
2024-05-05,-34.64101615137778
2024-05-06,-20.0000000000008
2024-05-07,-2.351321854362918e-13
2024-05-08,19.999999999999403
2024-05-09,34.641016151376974
2024-05-10,40.0
2024-05-11,34.641016151378
2024-05-12,20.000000000000185
2024-05-13,6.663564140889414e-13
2024-05-14,-19.999999999999034
2024-05-15,-34.64101615137733
2024-05-16,-40.0
2024-05-17,-34.64101615137764
2024-05-18,-20.00000000000056
2024-05-19,-1.097580642741591e-12
2024-05-20,19.999999999999645
2024-05-21,34.641016151377116
2024-05-22,40.0
2024-05-23,34.64101615137786
2024-05-24,20.00000000000093
2024-05-25,3.9193649417808004e-13
2024-05-26,-19.999999999999268
2024-05-27,-34.64101615137747
2024-05-28,-40.0
2024-05-29,-34.641016151378075
2024-05-30,-20.000000000000323
2024-05-31,-8.231607228307297e-13
2024-06-01,19.999999999998895
2024-06-02,34.64101615137725
2024-06-03,40.0
2024-06-04,34.64101615137772
2024-06-05,20.000000000000696
2024-06-06,1.254384951483379e-12
2024-06-07,-19.999999999999506
2024-06-08,-34.64101615137704
2024-06-09,-40.0
2024-06-10,-34.64101615137794
2024-06-11,-20.00000000000107
2024-06-12,-5.487408029198684e-13
2024-06-13,19.999999999999133
2024-06-14,34.641016151377386
2024-06-15,40.0
2024-06-16,34.64101615137815
2024-06-17,20.00000000000046
2024-06-18,9.79965031572518e-13
2024-06-19,-19.999999999999744
2024-06-20,-34.64101615137717
2024-06-21,-40.0
2024-06-22,-34.6410161513778
2024-06-23,-20.00000000000083
2024-06-24,-2.7432088300900714e-13
2024-06-25,19.99999999999937
2024-06-26,34.64101615137696
2024-06-27,40.0
2024-06-28,34.64101615137801
2024-06-29,20.00000000000022
2024-06-30,7.055451116616567e-13
2024-07-01,-19.999999999998998
2024-07-02,-34.64101615137731
2024-07-03,-40.0
2024-07-04,-34.64101615137766
2024-07-05,-20.000000000000597
2024-07-06,-1.1367693403143062e-12
2024-07-07,19.99999999999961
2024-07-08,34.641016151377094
2024-07-09,40.0
2024-07-10,34.641016151377876
2024-07-11,20.000000000000966
2024-07-12,4.311251917507954e-13
2024-07-13,-19.999999999999236
2024-07-14,-34.64101615137688
2024-07-15,-40.0
2024-07-16,-34.641016151378096
2024-07-17,-20.000000000000355
2024-07-18,-8.623494204034449e-13
2024-07-19,19.999999999998863
2024-07-20,34.64101615137723
2024-07-21,40.0
2024-07-22,34.64101615137774
